URL de Lote;Código;Ano Modelo;Marca;Modelo;Documento;Chassi;Categoria;Condição;Cond. de Funcionamento;Tipo de Monta;Tipo de Chassi;Comitente;Valor FIPE;Pátio Veículo;Data do Leilão;Pátio do Leilão;Lote;Grade/Linha;Lance atual;Meu Lance
https://www.copart.com.br/lotDetail/513526;513526;2012;VOLKSWAGEN;GOL;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;AE-13;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/513890;513890;2019;HONDA;CG 160;Aguardando Classificação;;Motos;ROUBO/FURTO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EB6-1;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/513955;513955;2019;HONDA;CG 160;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;MG1;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/514225;514225;2006;FIAT;FIORINO FURGAO;Aguardando Classificação;;Utilitários Pequenos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EA14-5;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/514279;514279;2012;LAND ROVER;FREELANDER 2;Aguardando Classificação;;SUV Pequenos;COLISÃO;Motor dá partida;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;C17;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/515626;515626;2006;VOLKSWAGEN;GOL;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;V 100;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/515922;515922;2014;YAMAHA;FAZER;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;M 040;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/515933;515933;2002;VOLKSWAGEN;GOL;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;U 060;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/516005;516005;2014;FIAT;UNO;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA14-05;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/516158;516158;2018;CHEVROLET;PRISMA;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;H17;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/516474;516474;1992;VOLKSWAGEN;GOL;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EA16-6;0 BRL;0 BRL
